speed_lvl;data;battery_val;current;ms_per_rev
3;575;382;4;126
3;575;381;4;125
3;575;382;4;125
3;575;382;4;125
3;600;382;4;117
3;600;382;5;118
3;600;382;4;118
3;600;381;4;118
3;625;382;5;111
3;625;382;4;111
3;625;381;5;111
3;625;381;6;111
3;650;381;6;105
3;650;381;7;105
3;650;382;6;106
3;650;381;6;106
3;675;381;5;100
3;675;381;6;100
3;675;381;6;100
3;675;381;7;100
3;700;381;7;95
3;700;381;6;95
3;700;381;8;95
3;700;381;6;95
3;725;381;6;91
3;725;380;7;91
3;725;381;8;91
3;725;380;6;90
3;750;380;7;87
3;750;380;7;87
3;750;380;7;87
3;750;379;7;87
3;775;380;7;84
3;775;380;7;84
3;775;380;7;83
3;775;380;8;84
3;800;380;9;80
3;800;380;9;80
3;800;380;11;80
3;800;379;9;80
3;825;379;7;77
3;825;379;9;78
3;825;380;7;78
3;825;379;9;78
3;850;381;10;75
3;850;379;11;74
3;850;379;8;75
3;850;380;9;75
3;875;379;8;71
3;875;379;9;72
3;875;380;8;72
3;875;379;10;72
3;900;378;9;69
3;900;379;11;69
3;900;379;11;69
3;900;379;14;70
3;925;379;11;64
3;925;379;11;63
3;925;379;13;64
3;925;379;9;64
3;950;379;11;64
3;950;378;10;64
3;950;378;14;63
3;950;378;11;64
3;975;379;0;64
3;975;379;11;64
3;975;378;14;64
3;975;377;12;64
3;1000;379;11;64
3;1000;378;8;63
3;1000;378;12;63
3;1000;378;11;63
